Protein	Structural Cluster	Cluster representative	Family	Class	Consensus Class	In_tree?	Best Hit UniprotKB entry	Best Hit UniprotKB name	Best Hit UniprotKB %id	Best Hit UniprotKB e-value	UniprotKB novelty%	Average identity	Average TM-score	Abundance	Redundant_names
15904097_len_328_MetaAn_9	A-V	1090872_len_332_MetaAn_9	Undefined	Candidate	A	Yes	A0A950D3R7	Beta-lactamase, 3.5.2.6	53.6	5.E-97	46.4	0.205	0.64401	0.000692394	10957333_len_328_MetaAn_9;13437618_len_328_MetaAn_9;2308737_len_328_MetaAn_9;27826232_len_328_MetaAn_9;SPA_MetaAn_9_l327_st14239_e15219_se1_ID=408_13
17632096_len_329_MetaAn_25	Ribonuclease Z	SPA_MetaAn_23_l308_st12520_e13443_se1_ID=1076_9	Undefined	Candidate	MBL	No	-	-	-	-	-	-	-	0	1573370_len_329_MetaAn_25;2214991_len_329_MetaAn_25;3200075_len_329_MetaAn_25;3601915_len_329_MetaAn_25;4280553_len_329_MetaAn_25;509128_len_329_MetaAn_25;6313144_len_329_MetaAn_25;9737897_len_329_MetaAn_25;SPA_MetaAn_25_l328_st40_e1023_se-1_ID=85100_1
1870935_len_305_MetaAn_58	B3-V	397866_len_363_MetaAn_3	Undefined	Candidate	B3	No	-	-	-	-	-	-	-	0.007012913	1482945_len_305_MetaAn_58;1838362_len_305_MetaAn_58;2822815_len_305_MetaAn_58;48260_len_305_MetaAn_58;5022828_len_305_MetaAn_58;SPA_MetaAn_58_l304_st320_e1231_se1_ID=18958_2
22342244_len_285_MetaAn_33	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000821962	11343493_len_285_MetaAn_24;14855924_len_285_MetaAn_33;17881486_len_285_MetaAn_33;914646_len_285_MetaAn_32
3477474_len_320_MetaAn_9	A-V	1090872_len_332_MetaAn_9	Undefined	Candidate	A	Yes	A0A950D3R7	Beta-lactamase, 3.5.2.6	55.2	1.E-98	44.8	0.211	0.668	0.002028555	127081_len_320_MetaAn_9;14199458_len_320_MetaAn_9;15932021_len_320_MetaAn_9;751243_len_320_MetaAn_9;8951843_len_320_MetaAn_9
36179783_len_292_MetaAn_17	D-I	CDD-1	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.00202056	20200179_len_292_MetaAn_17;23181725_len_292_MetaAn_17;36179782_len_292_MetaAn_17;39562757_len_292_MetaAn_17
41110274_len_285_MetaAn_17	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000742133	12849437_len_285_MetaAn_34;1954861_len_285_MetaAn_26;5382321_len_285_MetaAn_34;843010_len_285_MetaAn_34;SPA_MetaAn_26_l284_st311_e1162_se1_ID=42520_2
4269758_len_246_MetaAn_74	B1-I	SPA_MetaAn_23_l270_st220_e1029_se-1_ID=93401_1	Undefined	Candidate	B1	No	-	-	-	-	-	-	-	0.005468568	26502506_len_246_MetaAn_74;27153239_len_246_MetaAn_74;33547434_len_246_MetaAn_74;41910041_len_246_MetaAn_74;5429217_len_246_MetaAn_74;9458921_len_246_MetaAn_74
4318015_len_385_MetaAn_39	Carboxylesterase PBP-5	SPA_MetaAn_7_l417_st452_e1702_se-1_ID=64270_2	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	16305125_len_385_MetaAn_39;4097472_len_384_MetaAn_39
445188_len_295_MetaAn_57	A-III	SGM-5	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.021924933	3945633_len_295_MetaAn_57;4519639_len_295_MetaAn_57;5504712_len_295_MetaAn_57;6062166_len_295_MetaAn_57
6324056_len_306_MetaAn_3	Ribonuclease Z	SPA_MetaAn_23_l308_st12520_e13443_se1_ID=1076_9	Undefined	Candidate	MBL	No	-	-	-	-	-	-	-	0	1921091_len_306_MetaAn_3;3424117_len_306_MetaAn_3;9478304_len_306_MetaAn_3;SPA_MetaAn_3_l305_st32573_e33487_se1_ID=108_27
7074193_len_328_MetaAn_9	A-V	1090872_len_332_MetaAn_9	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.00533492	17438276_len_328_MetaAn_9;6725001_len_328_MetaAn_9
7311739_len_385_MetaAn_36	Carboxylesterase PBP-5	SPA_MetaAn_7_l417_st452_e1702_se-1_ID=64270_2	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	30455884_len_385_MetaAn_31;48687918_len_385_MetaAn_31
7884865_len_314_MetaAn_59	Ribonuclease Z	SPA_MetaAn_23_l308_st12520_e13443_se1_ID=1076_9	Undefined	Candidate	MBL	No	-	-	-	-	-	-	-	0	10762260_len_314_MetaAn_59;14027825_len_314_MetaAn_59;6923030_len_314_MetaAn_59;6923803_len_314_MetaAn_59
9657604_len_299_MetaAn_8	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.001635343	3160042_len_299_MetaAn_8;5545145_len_299_MetaAn_8
ACT-108	C-I	21243713_len_452_MetaAn_63	ACT	Class_C	C	No	-	-	-	-	-	-	-	0	ACT-106;ACT-83;ACT-84
ACT-14	C-I	21243713_len_452_MetaAn_63	ACT	Class_C	C	No	-	-	-	-	-	-	-	0	ACT-114;ACT-18;ACT-23;ACT-24;ACT-36;ACT-39;ACT-47;ACT-66;ACT-67;ACT-C197
ACT-16	C-I	21243713_len_452_MetaAn_63	ACT	Class_C	C	No	-	-	-	-	-	-	-	0	ACT-115;ACT-20;ACT-25;ACT-30;ACT-31;ACT-41;ACT-45;ACT-46;ACT-61;ACT-69;ACT-72;ACT-75;ACT-C194;ACT-C196
ACT-2	C-I	21243713_len_452_MetaAn_63	ACT	Class_C	C	No	-	-	-	-	-	-	-	0	ACT-1;ACT-105;ACT-3;ACT-34;ACT-68
ADC-100	C-I	21243713_len_452_MetaAn_63	ADC	Class_C	C	Yes	-	-	100	0	0	0.113	0.51129	0	ADC-1;ADC-109;ADC-110;ADC-112;ADC-113;ADC-114;ADC-115;ADC-116;ADC-117;ADC-139;ADC-140;ADC-141;ADC-143;ADC-144;ADC-145;ADC-146;ADC-147;ADC-153;ADC-162;ADC-177;ADC-178;ADC-188;ADC-197;ADC-198;ADC-200;ADC-212;ADC-217;ADC-218;ADC-223;ADC-224;ADC-226;ADC-229;ADC-231;ADC-25;ADC-250;ADC-260;ADC-268;ADC-290;ADC-293;ADC-30;ADC-31;ADC-33;ADC-337;ADC-4;ADC-56;ADC-59;ADC-60;ADC-61;ADC-65;ADC-67;ADC-73;ADC-75;ADC-78;ADC-82;ADC-97
ADC-182	C-I	21243713_len_452_MetaAn_63	ADC	Class_C	C	No	-	-	-	-	-	-	-	0	ADC-181;ADC-183;ADC-234;ADC-235;ADC-259;ADC-5
ADC-222	C-I	21243713_len_452_MetaAn_63	ADC	Class_C	C	No	-	-	-	-	-	-	-	0	ADC-167;ADC-321;ADC-88
ADC-266	C-I	21243713_len_452_MetaAn_63	ADC	Class_C	C	No	-	-	-	-	-	-	-	0	ADC-131;ADC-289;ADC-334
ADC-269	C-I	21243713_len_452_MetaAn_63	ADC	Class_C	C	No	-	-	-	-	-	-	-	0	ADC-156;ADC-160;ADC-278;ADC-284;ADC-3;ADC-306;ADC-330
ADC-271	C-I	21243713_len_452_MetaAn_63	ADC	Class_C	C	No	-	-	-	-	-	-	-	0	ADC-159;ADC-241;ADC-317;ADC-50
ADC-312	C-I	21243713_len_452_MetaAn_63	ADC	Class_C	C	No	-	-	-	-	-	-	-	0	ADC-107;ADC-122;ADC-186;ADC-192;ADC-237;ADC-249;ADC-29;ADC-51;ADC-79;ADC-93;ADC-94
BcII-186	B1-IV	BcII-113	BcII	Sub-Class_B1	B1	No	-	-	-	-	-	-	-	0	BcII-182;BcII-183;BcII-184;BcII-185;BcII-187;BcII-188;BcII-190;BcII-192;BcII-4;BcII-5
BcII-57	B1-IV	BcII-113	BcII	Sub-Class_B1	B1	No	-	-	-	-	-	-	-	0	BcII-28;BcII-44;BcII-53;BcII-55;BcII-56
BlaB-15	B1-I	SPA_MetaAn_23_l270_st220_e1029_se-1_ID=93401_1	BlaB	Sub-Class_B1	B1	Yes	-	-	100	0	0	0.144	0.65363	0	BlaB-22;BlaB-24;BlaB-25;BlaB-5
BlaB-8	B1-I	SPA_MetaAn_23_l270_st220_e1029_se-1_ID=93401_1	BlaB	Sub-Class_B1	B1	No	-	-	-	-	-	-	-	0	BlaB-10;BlaB-27;BlaB-39;BlaB-6;BlaB-7;BlaB-9
CARB-20	A-IV	BRO-2	CARB	Class_A	A	No	-	-	-	-	-	-	-	0	CARB-17;CARB-18;CARB-19;CARB-21;CARB-24;CARB-25;CARB-26;CARB-27;CARB-28;CARB-29;CARB-31;CARB-33;CARB-34;CARB-35;CARB-36;CARB-37;CARB-38;CARB-40;CARB-41;CARB-43;CARB-44;CARB-46;CARB-47
CIA-4	A-II	11671458_len_355_MetaAn_23	CIA	Class_A	A	No	-	-	-	-	-	-	-	0.000229034	CIA-1;CIA-2;CIA-3
CKO-2	A-III	SGM-5	CKO	Class_A	A	No	-	-	-	-	-	-	-	0	CKO-1;CKO-3;MAL-1;MAL-2
CMH-13	C-I	21243713_len_452_MetaAn_63	CMH	Class_C	C	No	-	-	-	-	-	-	-	0	CMH-11;CMH-3;CMH-6;CMH-7;CMH-8
CMY-101	C-I	21243713_len_452_MetaAn_63	CMY	Class_C	C	No	-	-	-	-	-	-	-	0	CMY-100;CMY-137;CMY-182;CMY-70;CMY-74;CMY-82;CMY-83;CMY-93
CMY-124	C-I	21243713_len_452_MetaAn_63	CMY	Class_C	C	No	-	-	-	-	-	-	-	0	CMY-106;CMY-49;CMY-73
CMY-128	C-I	21243713_len_452_MetaAn_63	CMY	Class_C	C	No	-	-	-	-	-	-	-	0	CMY-105;CMY-113;CMY-114;CMY-150;CMY-47;CMY-65;CMY-66;CMY-68;CMY-75;CMY-81;CMY-97
CMY-129	C-I	21243713_len_452_MetaAn_63	CMY	Class_C	C	No	-	-	-	-	-	-	-	0	CMY-127;CMY-183;CMY-39;CMY-46;CMY-63;CMY-64;CMY-71;CMY-77
CMY-141	C-I	21243713_len_452_MetaAn_63	CMY	Class_C	C	No	-	-	-	-	-	-	-	0.000130736	CMY-102;CMY-107;CMY-111;CMY-12;CMY-121;CMY-125;CMY-130;CMY-131;CMY-132;CMY-133;CMY-134;CMY-136;CMY-138;CMY-139;CMY-14;CMY-140;CMY-142;CMY-143;CMY-145;CMY-146;CMY-147;CMY-148;CMY-149;CMY-15;CMY-153;CMY-154;CMY-156;CMY-158;CMY-16;CMY-160;CMY-161;CMY-162;CMY-163;CMY-164;CMY-165;CMY-166;CMY-167;CMY-17;CMY-171;CMY-174;CMY-175;CMY-177;CMY-18;CMY-184;CMY-185;CMY-186;CMY-2;CMY-20;CMY-21;CMY-22;CMY-23;CMY-24;CMY-25;CMY-27;CMY-28;CMY-29;CMY-2b;CMY-3;CMY-30;CMY-31;CMY-32;CMY-34;CMY-36;CMY-38;CMY-4;CMY-42;CMY-43;CMY-45;CMY-5;CMY-54;CMY-55;CMY-56;CMY-57;CMY-58;CMY-59;CMY-6;CMY-60;CMY-62;CMY-69;CMY-7;CMY-94;CMY-95;CMY-99;LAT-1
CMY-8	C-I	21243713_len_452_MetaAn_63	CMY	Class_C	C	No	-	-	-	-	-	-	-	0.0001786	CMY-19;CMY-8b;CMY-9;MOX-1;MOX-16
CMY-85	C-I	21243713_len_452_MetaAn_63	CMY	Class_C	C	No	-	-	-	-	-	-	-	0	CMY-151;CMY-72;CMY-78;CMY-90
CTX-M-124	A-III	SGM-5	CTX-M	Class_A	A	No	-	-	-	-	-	-	-	7.74e-05	CTX-M-115;CTX-M-131;CTX-M-141;CTX-M-165;CTX-M-171;CTX-M-2;CTX-M-20;CTX-M-200;CTX-M-229;CTX-M-253;CTX-M-31;CTX-M-35;CTX-M-43;CTX-M-44;CTX-M-5;CTX-M-56;CTX-M-59;CTX-M-74;CTX-M-75;CTX-M-76;CTX-M-92;CTX-M-97;KLUA-1;KLUA-14;KLUA-15;KLUA-2;KLUA-6;KLUA-8;KLUA-9
CTX-M-13	A-IV	BRO-2	CTX-M	Class_A	A	No	-	-	-	-	-	-	-	0.000460324	CTX-M-102;CTX-M-104;CTX-M-105;CTX-M-110;CTX-M-111;CTX-M-112;CTX-M-113;CTX-M-121;CTX-M-125;CTX-M-126;CTX-M-129;CTX-M-134;CTX-M-14;CTX-M-140;CTX-M-159;CTX-M-16;CTX-M-161;CTX-M-168;CTX-M-17;CTX-M-174;CTX-M-19;CTX-M-191;CTX-M-192;CTX-M-195;CTX-M-196;CTX-M-198;CTX-M-201;CTX-M-223;CTX-M-233;CTX-M-235;CTX-M-239;CTX-M-24;CTX-M-240;CTX-M-242;CTX-M-255;CTX-M-27;CTX-M-38;CTX-M-47;CTX-M-48;CTX-M-50;CTX-M-67;CTX-M-73;CTX-M-83;CTX-M-84;CTX-M-85;CTX-M-86;CTX-M-9;CTX-M-90;CTX-M-93;CTX-M-98;KLUY-1;KLUY-2;KLUY-5
CTX-M-147	A-IV	BRO-2	CTX-M	Class_A	A	No	-	-	-	-	-	-	-	0.000111211	CTX-M-122;CTX-M-130;CTX-M-148;CTX-M-215;CTX-M-219;CTX-M-241;CTX-M-243;CTX-M-252;CTX-M-267;CTX-M-51;CTX-M-65;CTX-M-87;CTX-M-99
CfiA-2	B1-II	SHD-1	CfiA	Sub-Class_B1	B1	No	-	-	-	-	-	-	-	0	CfiA-10;CfiA-18;CfiA-26;CfiA-8;CfiA-9
EC-132	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-117;EC-140;EC-40;EC-43;EC-47;EC-75
EC-1412	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-102;EC-115;EC-131;EC-1326;EC-1327;EC-1328;EC-1330;EC-1331;EC-1332;EC-1333;EC-1334;EC-1335;EC-1336;EC-1337;EC-1338;EC-1339;EC-1340;EC-1341;EC-1342;EC-1343;EC-1344;EC-1345;EC-1346;EC-1347;EC-1348;EC-1349;EC-1350;EC-1351;EC-1352;EC-1353;EC-1354;EC-1355;EC-1356;EC-1357;EC-1358;EC-1359;EC-1360;EC-1361;EC-1362;EC-1363;EC-1364;EC-1365;EC-1366;EC-1367;EC-1368;EC-1369;EC-1370;EC-1371;EC-1372;EC-1373;EC-1374;EC-1375;EC-1376;EC-1377;EC-1378;EC-1379;EC-1380;EC-1381;EC-1382;EC-1383;EC-1384;EC-1385;EC-1386;EC-1387;EC-1388;EC-1389;EC-1390;EC-1391;EC-1392;EC-1393;EC-1394;EC-1395;EC-1396;EC-1397;EC-1398;EC-1399;EC-1400;EC-1401;EC-1402;EC-1403;EC-1404;EC-1407;EC-1408;EC-1409;EC-1410;EC-1411;EC-1413;EC-1414;EC-1415;EC-1416;EC-1417;EC-1418;EC-1419;EC-1420;EC-1421;EC-1422;EC-1423;EC-1424;EC-1425;EC-1426;EC-1427;EC-1428;EC-1429;EC-1430;EC-1431;EC-1432;EC-1433;EC-1439;EC-1441;EC-1442;EC-1443;EC-1451;EC-1452;EC-1453;EC-1454;EC-1455;EC-1457;EC-1458;EC-1459;EC-1460;EC-1461;EC-1462;EC-1463;EC-1464;EC-1465;EC-1466;EC-1467;EC-1468;EC-1469;EC-1470;EC-1471;EC-1472;EC-1473;EC-1474;EC-1475;EC-1491;EC-1520;EC-1521;EC-1524;EC-1525;EC-1526;EC-1527;EC-1528;EC-1529;EC-1530;EC-1531;EC-1532;EC-1533;EC-1534;EC-1535;EC-1536;EC-1537;EC-1538;EC-1539;EC-154;EC-1540;EC-1541;EC-1543;EC-1544;EC-1545;EC-1548;EC-1555;EC-1556;EC-168;EC-171;EC-174;EC-185;EC-187;EC-191;EC-225;EC-227;EC-262;EC-305;EC-329;EC-340;EC-P59
EC-1502	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-120;EC-147;EC-1486;EC-1487;EC-1488;EC-1489;EC-1490;EC-1492;EC-1493;EC-1494;EC-1495;EC-1496;EC-1497;EC-1498;EC-1499;EC-1500;EC-1503;EC-1504;EC-1505;EC-1506;EC-1507;EC-1508;EC-1509;EC-1510;EC-1511;EC-1512;EC-1513;EC-1514;EC-184;EC-198;EC-199;EC-210;EC-224;EC-226;EC-314;EC-365;EC-375;EC-782
EC-1586	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-1547;EC-1549;EC-1550;EC-1551;EC-1552;EC-1553;EC-1554;EC-1557;EC-1558;EC-1559;EC-1560;EC-1561;EC-1562;EC-1563;EC-1564;EC-1565;EC-1566;EC-1567;EC-1568;EC-1569;EC-1570;EC-1571;EC-1572;EC-1573;EC-1574;EC-1575;EC-1576;EC-1577;EC-1578;EC-1579;EC-1580;EC-1582;EC-1583;EC-1584;EC-1585;EC-1587;EC-1588;EC-374
EC-1743	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-134;EC-145;EC-156;EC-1741;EC-1742;EC-1744;EC-1745;EC-1746;EC-1747;EC-1748;EC-1749;EC-1750;EC-1751;EC-1754;EC-1755;EC-1986;EC-1992;EC-1996;EC-1997;EC-1998;EC-1999;EC-2000;EC-2001;EC-2002;EC-2003;EC-2004;EC-2005;EC-2006;EC-2007;EC-2008;EC-2009;EC-2010;EC-2011;EC-2012;EC-2013;EC-2014;EC-2015;EC-2016;EC-2017;EC-2018;EC-2019;EC-2020;EC-2021;EC-2022;EC-2023;EC-2024;EC-2025;EC-2026;EC-2027;EC-2028;EC-2029;EC-2030;EC-2031;EC-2033;EC-2034;EC-2035;EC-2036;EC-2037;EC-2038;EC-2039;EC-2040;EC-2052;EC-2053;EC-2054;EC-2055;EC-2056;EC-2057;EC-2058;EC-2059;EC-2071;EC-2074;EC-2075;EC-2076;EC-2077;EC-2078;EC-2079;EC-2080;EC-2081;EC-234;EC-265;EC-282;EC-293;EC-295;EC-376;EC-392;EC-4
EC-1767	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-133;EC-1756;EC-1757;EC-1758;EC-1759;EC-1762;EC-1763;EC-1764;EC-1765;EC-1766;EC-1768;EC-1769;EC-1770;EC-239;EC-245
EC-1780	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-1779;EC-1783;EC-1838;EC-1839;EC-1840;EC-1841;EC-1842;EC-1843;EC-1844;EC-1845;EC-1846;EC-1847;EC-1848;EC-1850;EC-1857;EC-1858;EC-1859;EC-1860;EC-1861;EC-1862;EC-1863;EC-1864;EC-1865;EC-1866;EC-1867;EC-1868;EC-1869;EC-1872;EC-1873;EC-1874;EC-1876;EC-1877;EC-1878;EC-1879;EC-1880;EC-1881;EC-1882;EC-1883;EC-1884;EC-330;EC-45
EC-179	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-1785;EC-1786;EC-1787;EC-1788;EC-1789;EC-1790;EC-1791;EC-1793;EC-1795;EC-1796;EC-1797;EC-1798;EC-1799;EC-1800;EC-1801;EC-1802;EC-1803;EC-1804;EC-1805;EC-1806;EC-1807;EC-1808;EC-1809;EC-1810;EC-1811;EC-1812;EC-1813;EC-1814;EC-1815;EC-1816;EC-1817;EC-1818;EC-1819;EC-1820;EC-1821;EC-1823;EC-1824;EC-1825;EC-1832;EC-1833;EC-1834;EC-1835;EC-1855;EC-1875;EC-1886;EC-1915;EC-1917;EC-1919;EC-1983;EC-204;EC-278;EC-345;EC-41
EC-180	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-114;EC-2089;EC-2090;EC-2091;EC-2092;EC-2095;EC-2098;EC-2099;EC-2141;EC-267;EC-280
EC-1893	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-1890;EC-1891;EC-1892
EC-1927	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-1923;EC-1924;EC-1928;EC-1929;EC-1930
EC-2047	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	EC-2042;EC-2043;EC-2044;EC-2045;EC-2046;EC-2072
